Project,Train Version,Test Version,ML Algorithm,Sampling Method,Defect Ratio,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure
ant,1.3,1.5,naive_bayes,mutation,0.4,{},0.8361774744027304,0.4285714285714286,0.7161159003831418,0.3528594606580987,0.3461538461538461,0.5625,0.8697318007662835,0.1302681992337164,0.6772182984340692,0.6994455932601438,0.8198736443040275
ant,1.3,1.5,decision_tree,mutation,0.4,{'classification__criterion': 'entropy'; 'classification__max_depth': 6; 'classification__max_features': 'auto'},0.6006825938566553,0.2451612903225806,0.5976412835249042,0.1234189086557836,0.1544715447154471,0.59375,0.6015325670498084,0.3984674329501915,0.5976224673133977,0.5976286151832289,0.650601013028753
ant,1.3,1.5,random_forest,mutation,0.4,{'classification__criterion': 'entropy'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 10},0.8361774744027304,0.2941176470588235,0.6064415708812262,0.2022640512770405,0.2777777777777778,0.3125,0.9003831417624522,0.0996168582375478,0.5087873329986696,0.5304429581027222,0.8270092015690641
ant,1.3,1.5,svm,mutation,0.4,{'classification__coef0': 0; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.8088737201365188,0.3913043478260869,0.7007902298850575,0.3103946518854605,0.3,0.5625,0.8390804597701149,0.160919540229885,0.6703779828138011,0.6870100134791993,0.7932287377931914
ant,1.3,1.6,knn,mutation,0.4,{'classification__n_neighbors': 15},0.6335227272727273,0.4366812227074236,0.6044314381270903,0.1882185088869352,0.364963503649635,0.5434782608695652,0.6653846153846154,0.3346153846153846,0.5997628491006998,0.601350208762411,0.5919233589070612
ant,1.3,1.6,naive_bayes,mutation,0.4,{},0.7727272727272727,0.5,0.6635451505016722,0.3640278643051716,0.5882352941176471,0.4347826086956521,0.8923076923076924,0.1076923076923077,0.5931410978183057,0.6228642438129964,0.7302864796987943
ant,1.3,1.6,decision_tree,mutation,0.4,{'classification__criterion': 'entropy'; 'classification__max_depth': 5; 'classification__max_features': 'sqrt'},0.6818181818181818,0.3707865168539326,0.5774247491638796,0.1583435386939117,0.3837209302325581,0.358695652173913,0.7961538461538461,0.2038461538461538,0.5241720263695542,0.534393977395819,0.6498594796382279
ant,1.3,1.6,random_forest,mutation,0.4,{'classification__criterion': 'gini'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 80},0.7954545454545454,0.5135135135135135,0.6719063545150502,0.4130119759983029,0.6785714285714286,0.4130434782608695,0.9307692307692308,0.0692307692307692,0.5820820308838215,0.6200388379247844,0.7602500404659353
ant,1.3,1.6,svm,mutation,0.4,{'classification__coef0': 0; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.7585227272727273,0.5454545454545455,0.6925585284280936,0.3811930530220871,0.5368421052631579,0.5543478260869565,0.8307692307692308,0.1692307692307692,0.6629206967434373,0.6786273771790055,0.6982881180475917
ant,1.3,1.7,knn,mutation,0.4,{'classification__n_neighbors': 15},0.6778523489932886,0.4759825327510916,0.6702821649291466,0.2903032901146313,0.3732876712328767,0.6566265060240963,0.6839378238341969,0.3160621761658031,0.6699995033580379,0.6701430471190256,0.6319983090639829
